nationality,nationality_index,split,surname,no_accent,no_apostroph
Irish,1,train,Ceallachan,Ceallachan,Ceallachan
Irish,1,train,Ahearn,Ahearn,Ahearn
Irish,1,train,O'Byrne,O'Byrne,O Byrne
Irish,1,train,Cathain,Cathain,Cathain
Irish,1,train,Kelly,Kelly,Kelly
Irish,1,train,Riain,Riain,Riain
Irish,1,train,Macclelland,Macclelland,Macclelland
Irish,1,train,Bradan,Bradan,Bradan
Irish,1,train,Tadhg,Tadhg,Tadhg
Irish,1,train,O'Donnell,O'Donnell,O Donnell
Irish,1,train,Cormac,Cormac,Cormac
Irish,1,train,O'Shea,O'Shea,O Shea
Irish,1,train,Quigley,Quigley,Quigley
Irish,1,train,Farrell,Farrell,Farrell
Irish,1,train,O'Hannigain,O'Hannigain,O Hannigain
Irish,1,train,Treasach,Treasach,Treasach
Irish,1,train,Niall,Niall,Niall
Irish,1,train,Gerald,Gerald,Gerald
Irish,1,train,Braden,Braden,Braden
Irish,1,train,O'Neal,O'Neal,O Neal
Irish,1,train,Monahan,Monahan,Monahan
Irish,1,train,Mochan,Mochan,Mochan
Irish,1,train,O'Hanlon,O'Hanlon,O Hanlon
Irish,1,train,Mcguire,Mcguire,Mcguire
Irish,1,train,Duncan,Duncan,Duncan
Irish,1,train,Cennetig,Cennetig,Cennetig
Irish,1,train,Naoimhin,Naoimhin,Naoimhin
Irish,1,train,Cleirigh,Cleirigh,Cleirigh
Irish,1,train,Aonghuis,Aonghuis,Aonghuis
Irish,1,train,Malone,Malone,Malone
Irish,1,train,Whelan,Whelan,Whelan
Irish,1,train,O'Mahoney,O'Mahoney,O Mahoney
Irish,1,train,O'Connor,O'Connor,O Connor
Irish,1,train,Tracey,Tracey,Tracey
Irish,1,train,Simon,Simon,Simon
Irish,1,train,Flanagan,Flanagan,Flanagan
Irish,1,train,Rodagh,Rodagh,Rodagh
Irish,1,train,Names,Names,Names
Irish,1,train,Nevin,Nevin,Nevin
Irish,1,train,William,William,William
Irish,1,train,Macdermott,Macdermott,Macdermott
Irish,1,train,O'Brien,O'Brien,O Brien
Irish,1,train,Donovan,Donovan,Donovan
Irish,1,train,Keefe,Keefe,Keefe
Irish,1,train,Brian,Brian,Brian
Irish,1,train,O'Leary,O'Leary,O Leary
Irish,1,train,O'Hagan,O'Hagan,O Hagan
Irish,1,train,Aodha,Aodha,Aodha
Irish,1,train,Maguire,Maguire,Maguire
Irish,1,train,Bran,Bran,Bran
Irish,1,train,Pharlain,Pharlain,Pharlain
Irish,1,train,Sluaghadhan,Sluaghadhan,Sluaghadhan
Irish,1,train,O'Donnell,O'Donnell,O Donnell
Irish,1,train,Ruadhan,Ruadhan,Ruadhan
Irish,1,train,Delaney,Delaney,Delaney
Irish,1,train,Sullivan,Sullivan,Sullivan
Irish,1,train,Riagain,Riagain,Riagain
Irish,1,train,O'Hannagain,O'Hannagain,O Hannagain
Irish,1,train,O'Rourke,O'Rourke,O Rourke
Irish,1,train,Maurice,Maurice,Maurice
Irish,1,train,Eoin,Eoin,Eoin
Irish,1,train,O'Hara,O'Hara,O Hara
Irish,1,train,Colman,Colman,Colman
Irish,1,train,O'Kelly,O'Kelly,O Kelly
Irish,1,train,Whalen,Whalen,Whalen
Irish,1,train,Neville,Neville,Neville
Irish,1,train,Teague,Teague,Teague
Irish,1,train,Coghlan,Coghlan,Coghlan
Irish,1,train,O'Neill,O'Neill,O Neill
Irish,1,train,Mohan,Mohan,Mohan
Irish,1,train,Rory,Rory,Rory
Irish,1,train,O'Donoghue,O'Donoghue,O Donoghue
Irish,1,train,Reilly,Reilly,Reilly
Irish,1,train,Carey,Carey,Carey
Irish,1,train,O'Driscoll,O'Driscoll,O Driscoll
Irish,1,train,Maciomhair,Maciomhair,Maciomhair
Irish,1,train,Mclain,Mclain,Mclain
Irish,1,train,Fergus,Fergus,Fergus
Irish,1,train,Ruadh,Ruadh,Ruadh
Irish,1,train,Login,Login,Login
Irish,1,train,Connell,Connell,Connell
Irish,1,train,Coilean,Coilean,Coilean
Irish,1,train,Collins,Collins,Collins
Irish,1,train,Mcnab,Mcnab,Mcnab
Irish,1,train,Corraidhin,Corraidhin,Corraidhin
Irish,1,train,Suaird,Suaird,Suaird
Irish,1,train,Doyle,Doyle,Doyle
Irish,1,train,O'Doherty,O'Doherty,O Doherty
Irish,1,train,Lennon,Lennon,Lennon
Irish,1,train,Mulryan,Mulryan,Mulryan
Irish,1,train,Bhrighde,Bhrighde,Bhrighde
Irish,1,train,Flynn,Flynn,Flynn
Irish,1,train,Mathghamhain,Mathghamhain,Mathghamhain
Irish,1,train,Manus,Manus,Manus
Irish,1,train,O'Connell,O'Connell,O Connell
Irish,1,train,Cnaimhin,Cnaimhin,Cnaimhin
Irish,1,train,Hayden,Hayden,Hayden
Irish,1,train,Sioda,Sioda,Sioda
Irish,1,train,Gallchobhar,Gallchobhar,Gallchobhar
Irish,1,train,Niadh,Niadh,Niadh
Irish,1,train,Shannon,Shannon,Shannon
Irish,1,train,Ceallach,Ceallach,Ceallach
Irish,1,train,Domhnall,Domhnall,Domhnall
Irish,1,train,Milligan,Milligan,Milligan
Irish,1,train,Rian,Rian,Rian
Irish,1,train,Damhain,Damhain,Damhain
Irish,1,train,Gorman,Gorman,Gorman
Irish,1,train,Finnegan,Finnegan,Finnegan
Irish,1,train,Maceachthighearna,Maceachthighearna,Maceachthighearna
Irish,1,train,O'Mahony,O'Mahony,O Mahony
Irish,1,train,O'Brian,O'Brian,O Brian
Irish,1,train,Aonghus,Aonghus,Aonghus
Irish,1,train,Brady,Brady,Brady
Irish,1,train,O'Boyle,O'Boyle,O Boyle
Irish,1,train,Mullen,Mullen,Mullen
Irish,1,train,Cassidy,Cassidy,Cassidy
Irish,1,train,Raghailligh,Raghailligh,Raghailligh
Irish,1,train,O'Reilly,O'Reilly,O Reilly
Irish,1,train,Callaghan,Callaghan,Callaghan
Irish,1,train,Eoin,Eoin,Eoin
Irish,1,train,Ciardha,Ciardha,Ciardha
Irish,1,train,O'Toole,O'Toole,O Toole
Irish,1,train,Dubhan,Dubhan,Dubhan
Irish,1,train,D̼bhshlaine,Dubhshlaine,Dubhshlaine
Irish,1,train,O'Malley,O'Malley,O Malley
Irish,1,train,Diarmaid,Diarmaid,Diarmaid
Irish,1,train,Damhan,Damhan,Damhan
Irish,1,train,Mcmahon,Mcmahon,Mcmahon
Irish,1,val,Power,Power,Power
Irish,1,val,Conn,Conn,Conn
Irish,1,val,Cathan,Cathan,Cathan
Irish,1,val,Adam,Adam,Adam
Irish,1,val,Faolan,Faolan,Faolan
Irish,1,val,Clark,Clark,Clark
Irish,1,val,Macfarland,Macfarland,Macfarland
Irish,1,val,Donnchadh,Donnchadh,Donnchadh
Irish,1,val,Fearghal,Fearghal,Fearghal
Irish,1,val,Bradach,Bradach,Bradach
Irish,1,val,Nolan,Nolan,Nolan
Irish,1,val,Neil,Neil,Neil
Irish,1,val,Cathasach,Cathasach,Cathasach
Irish,1,val,Rhys,Rhys,Rhys
Irish,1,val,Daly,Daly,Daly
Irish,1,val,O'Grady,O'Grady,O Grady
Irish,1,val,Flann,Flann,Flann
Irish,1,val,Reagan,Reagan,Reagan
Irish,1,val,Ivor,Ivor,Ivor
Irish,1,val,O'Kane,O'Kane,O Kane
Irish,1,val,Sloan,Sloan,Sloan
Irish,1,val,Conchobhar,Conchobhar,Conchobhar
Irish,1,val,O'Keeffe,O'Keeffe,O Keeffe
Irish,1,val,O'Hare,O'Hare,O Hare
Irish,1,val,O'Meara,O'Meara,O Meara
Irish,1,val,Brannon,Brannon,Brannon
Irish,1,val,O'Boyle,O'Boyle,O Boyle
Irish,1,test,Macghabhann,Macghabhann,Macghabhann
Irish,1,test,Peatain,Peatain,Peatain
Irish,1,test,O'Keefe,O'Keefe,O Keefe
Irish,1,test,Aodh,Aodh,Aodh
Irish,1,test,O'Dell,O'Dell,O Dell
Irish,1,test,Michael,Michael,Michael
Irish,1,test,O'Sullivan,O'Sullivan,O Sullivan
Irish,1,test,Maille,Maille,Maille
Irish,1,test,Nuallan,Nuallan,Nuallan
Irish,1,test,Samuel,Samuel,Samuel
Irish,1,test,Conall,Conall,Conall
Irish,1,test,Register,Register,Register
Irish,1,test,Seighin,Seighin,Seighin
Irish,1,test,Meadhra,Meadhra,Meadhra
Irish,1,test,Muirchertach,Muirchertach,Muirchertach
Irish,1,test,John,John,John
Irish,1,test,Eoghan,Eoghan,Eoghan
Irish,1,test,Mooney,Mooney,Mooney
Irish,1,test,Patrick,Patrick,Patrick
Irish,1,test,Casey,Casey,Casey
Irish,1,test,Roach,Roach,Roach
Irish,1,test,Murchadh,Murchadh,Murchadh
Irish,1,test,O'Ryan,O'Ryan,O Ryan
Irish,1,test,Cuidightheach,Cuidightheach,Cuidightheach
Irish,1,test,Madaidhin,Madaidhin,Madaidhin
Irish,1,test,Taidhg,Taidhg,Taidhg
Irish,1,test,Tadhgan,Tadhgan,Tadhgan
Irish,1,test,Ruadhain,Ruadhain,Ruadhain
